EnrollmentNo,choice1,choice2, choice3,choice4,choice5,choice6,choice7, choice8,choice9,choice10
E0116,C9435-IT,C4501-IT,C1664-IT,C8804-Auto,C6968-IT,C7667-IC,C9435-Civil,C4826-EC,C2490-IT,C2490-EC
E9657,C8895-CSE,C7410-Auto,C6200-EE,C8911-IT,C9896-CH,C2525-ME,C7410-CH,C6900-ME,C2525-EE,C1470-Civil
E7307,C6014-IT,C4790-CSE,C6978-EC,C7330-EC,C5005-IC,C6200-EE,C9118-Civil,C8132-Civil,C6968-CSE,C4790-EC
E1142,C5597-Civil,C8804-ME,C1570-Civil,C5111-ME,C4449-ME,C2800-IC,C0871-ME,C6900-EE,C0871-EC,C4449-IC
E1102,C8911-IC,C2525-IC,C8804-CH,C6200-EC,C2525-IC,C2800-IC,C1376-EC,C7168-IC,C6200-Civil,C4340-Civil
E7013,C2525-IT,C9443-IC,C4449-EC,C2490-Auto,C5597-Civil,C2661-Auto,C2220-CH,C1932-Auto,C2220-Civil,C7933-IT
E5782,C9118-Civil,C2525-EC,C9443-Civil,C2310-CSE,C1932-IC,C0871-EC,C5668-Auto,C1932-CH,C1932-IC,C8895-IT
E7129,C7168-IT,C2525-EC,C2310-EE,C1510-Civil,C2800-CH,C2661-Auto,C2490-IT,C1664-IT,C7410-Civil,C5111-ME
E1067,C6900-ME,C4501-CH,C2525-CSE,C7410-EE,C2800-EC,C9763-EC,C0060-Auto,C0871-CH,C7933-ME,C5668-IC
E2746,C9015-CH,C9443-CH,C8804-EE,C5597-CH,C0871-Auto,C4449-Civil,C2525-EE,C9763-CH,C9443-EE,C1376-Auto
E8061,C9118-CSE,C4849-EE,C1664-EE,C8911-ME,C6978-Auto,C0060-CSE,C8911-IC,C6968-CSE,C8911-IT,C5111-Auto
E7582,C4790-ME,C1510-CSE,C5668-EC,C6014-Auto,C6968-Auto,C8895-ME,C5005-CH,C7410-ME,C0060-Auto,C1470-Auto
E3926,C7510-Auto,C5597-EE,C6900-Civil,C7667-ME,C4206-EC,C6200-Civil,C5111-IT,C1932-Auto,C5005-Civil,C7330-CSE
E8992,C1376-IC,C6968-EE,C6014-ME,C7510-ME,C5597-EC,C0871-Auto,C9435-Civil,C7510-IC,C6200-Auto,C7330-ME
E4817,C2490-Auto,C7510-ME,C6879-IC,C2490-IT,C6879-CSE,C1932-ME,C5005-Auto,C9763-ME,C6978-IT,C1664-EC
E5944,C2010-EE,C8804-Civil,C5111-CSE,C5668-EC,C1510-IT,C8911-EE,C9015-EE,C9763-EC,C4826-EC,C2661-ME
E3946,C7410-EE,C4340-IC,C4849-EE,C7330-IT,C0060-EE,C9443-EE,C4790-Auto,C2220-CSE,C2800-IT,C4340-EE
E7484,C1664-EE,C6978-IT,C2661-Civil,C2310-IC,C9763-CSE,C7667-CSE,C4206-Auto,C6978-ME,C1664-IT,C4849-CH
E8035,C6014-EE,C7667-IC,C6978-IC,C2220-CH,C9712-IT,C9015-ME,C8895-Auto,C4501-Civil,C7933-EC,C7933-IC
E6771,C1664-EE,C5005-EE,C6968-CH,C9435-EE,C7933-EC,C1376-Civil,C9763-Auto,C6200-CH,C1664-CSE,C4449-IT
E5039,C2310-IC,C2800-IC,C4501-IT,C5005-IT,C4826-EE,C1664-IT,C0060-EE,C1470-Auto,C1470-EE,C6014-EC
E4942,C4212-IC,C1664-EC,C7168-Auto,C6014-EE,C1664-IT,C8132-Auto,C7330-Civil,C2220-EC,C5668-CH,C7933-Auto
E3546,C2661-CSE,C4501-EC,C8132-CSE,C2220-EE,C2220-IT,C9763-Auto,C9896-Auto,C9435-Auto,C0871-CH,C4849-CSE
E8945,C9118-ME,C8911-EC,C2310-IT,C0060-IC,C8911-ME,C1376-CSE,C9435-EC,C7168-EC,C6014-CSE,C4790-CH
E2686,C6978-CH,C4849-IT,C6900-Auto,C6879-Auto,C8804-ME,C7410-EE,C7410-IT,C6968-EE,C4449-IT,C9015-ME
E9745,C6900-Auto,C9118-CSE,C6200-Civil,C8804-CSE,C6014-EE,C6200-Auto,C7330-IC,C5005-CH,C5668-EE,C8132-IC
E9008,C4206-Civil,C4206-IC,C9015-EC,C9712-IC,C2661-ME,C9118-IT,C8132-EC,C8895-EC,C4340-IC,C2010-EC
E1578,C4826-CSE,C9015-Civil,C6968-Auto,C2525-IT,C5111-Auto,C5005-EC,C7510-IT,C6900-Auto,C9712-Auto,C6968-EE
E7711,C1570-IT,C2661-IT,C8804-EE,C1510-CSE,C8895-Civil,C2525-Civil,C2525-Civil,C6900-ME,C0060-Auto,C5668-Auto
E9605,C2661-Civil,C9443-EC,C9712-Civil,C4849-IT,C5111-EE,C2661-EC,C7330-IT,C9896-EC,C7667-CSE,C6968-IT
E0929,C2490-Auto,C2490-CSE,C5668-IC,C9015-CSE,C4849-CSE,C5111-CH,C4206-IC,C5668-IT,C4212-ME,C8895-IC
E4622,C4849-EC,C5668-IC,C7667-EC,C9896-EE,C4790-ME,C0060-Auto,C2525-IC,C8804-Auto,C4449-ME,C2525-EE
E1477,C6014-CH,C4212-IT,C6879-EE,C0871-IC,C7330-CSE,C9896-IC,C6014-Civil,C7168-IT,C2661-ME,C9712-Auto
E1226,C8911-CH,C7667-ME,C8132-CH,C2220-Civil,C2310-ME,C9712-IT,C2310-ME,C4790-CSE,C4340-EE,C9763-IT
E9414,C5111-CH,C4340-Auto,C2800-Civil,C5111-CSE,C7410-CSE,C4340-ME,C2220-CH,C9118-CSE,C9763-ME,C4790-CH
E4214,C1570-ME,C7667-Auto,C2220-EC,C6900-EC,C4790-Auto,C5005-EC,C7933-ME,C5111-EC,C5668-IT,C2490-Auto
E3576,C6968-Civil,C5597-CSE,C0871-EC,C9443-CH,C7410-Civil,C2310-IT,C2661-CH,C4501-Civil,C9443-EE,C2661-EE
E3985,C5005-Civil,C6879-EE,C2661-IT,C8804-EE,C4790-Auto,C2310-ME,C9015-IC,C0060-EE,C4449-CH,C0060-Auto
E1990,C4501-IT,C0060-EE,C1470-ME,C4790-IT,C2220-ME,C9763-EE,C2010-CSE,C7933-EC,C4212-EC,C6978-IC
E4133,C2661-Auto,C4826-ME,C7933-ME,C1932-CH,C9896-IC,C2490-EC,C4826-CH,C4212-EE,C4449-ME,C8132-Civil
E1529,C5005-IC,C6014-EE,C4790-IC,C4449-ME,C7168-CH,C4340-IT,C9896-ME,C9763-Auto,C7168-IC,C6968-Civil
E4326,C9015-CH,C9443-Auto,C2490-CH,C2310-CH,C4340-Auto,C9435-Auto,C7330-EE,C6968-CH,C2010-IC,C9763-IC
E3570,C8911-CSE,C4212-CSE,C4449-CH,C7933-Auto,C8911-EC,C2525-Auto,C1664-IC,C8911-Civil,C9763-Civil,C4340-Auto
E9876,C0871-IT,C4826-ME,C2010-EE,C7168-ME,C9443-ME,C2310-Auto,C6900-Auto,C0060-EE,C7933-EE,C2661-IT
E6924,C9712-IT,C5668-Civil,C4849-EC,C5597-CH,C7410-CSE,C5005-EC,C7410-Civil,C1570-EC,C9443-Auto,C9435-Civil
E4741,C6879-ME,C2661-EE,C4340-EE,C9896-IT,C1570-Civil,C1570-ME,C8132-ME,C8804-IT,C5668-CSE,C8804-EE
E0917,C7667-Auto,C2310-Auto,C1664-ME,C9763-Auto,C5668-EE,C4501-CH,C6978-EE,C6968-Civil,C9712-CSE,C7168-Civil
E0935,C2525-IC,C8804-IC,C7168-Auto,C4212-CSE,C6900-IT,C9015-CH,C4790-ME,C5111-EC,C2010-Civil,C7330-Civil
E5663,C7933-ME,C7410-EE,C0060-Civil,C1376-EE,C0871-IC,C2010-CH,C5597-Auto,C7510-CH,C4790-IT,C7510-CSE
E0926,C6968-IC,C5005-ME,C0060-EC,C8895-Civil,C0060-CH,C7330-IT,C8895-Auto,C5111-CSE,C4501-CH,C2661-ME
E2163,C9763-Auto,C1510-Civil,C2310-EE,C7410-Civil,C8132-EC,C6200-Civil,C0871-ME,C7667-CSE,C2661-IT,C7510-IT
E8515,C1664-IC,C0060-Civil,C9896-EE,C2490-ME,C9435-IT,C5005-Civil,C0871-Civil,C4449-EE,C8804-ME,C2220-EE
E2944,C4449-CSE,C5111-Auto,C9435-ME,C2800-IT,C1932-Civil,C4790-CSE,C1570-Civil,C1376-Civil,C9896-EC,C0871-IT
E4425,C2661-CH,C1510-ME,C5597-ME,C0871-EE,C2661-CSE,C9896-CSE,C8804-IC,C2310-IC,C9443-Civil,C7510-ME
E0629,C8911-Auto,C1570-IC,C7330-ME,C7667-EE,C5668-EC,C2661-CH,C9015-Auto,C5668-IC,C5005-IC,C9712-Civil
E7598,C1510-IT,C4826-Civil,C6968-ME,C4826-IC,C8895-IT,C8911-Auto,C4340-CSE,C7667-ME,C8804-CSE,C6978-IT
E9876,C5005-Civil,C9763-IC,C7510-IC,C9435-IT,C8895-IC,C7330-EE,C7510-Civil,C0871-IT,C8911-EE,C4790-CH
E5641,C2800-CSE,C9435-IC,C4849-CSE,C7410-EE,C9443-EC,C5111-Civil,C7330-IT,C8895-Auto,C6200-IT,C6978-EC
E5866,C9443-Auto,C8804-ME,C6978-EE,C7168-EC,C9118-Auto,C7667-CH,C2490-EC,C6200-Civil,C2220-ME,C7510-IT
E8562,C2010-EC,C8132-IC,C5111-IT,C4449-ME,C9118-Auto,C1932-CH,C1570-CSE,C0871-EE,C8895-Civil,C9443-EE
E3242,C2800-EC,C4212-EE,C7330-ME,C2310-Civil,C1932-EE,C0060-CSE,C6978-Auto,C5597-EE,C6978-ME,C2220-CH
E9265,C2800-Civil,C4340-IC,C8895-Auto,C9435-CSE,C6900-EC,C4501-ME,C4501-EC,C9763-Auto,C1664-Civil,C4826-IC
E1009,C5597-Auto,C1376-Civil,C7667-CSE,C1664-Auto,C4501-IT,C2800-ME,C4449-CSE,C4340-CH,C2525-CH,C6900-EC
E7637,C4826-IT,C1664-IC,C5111-Auto,C2525-Civil,C4449-Auto,C9896-IC,C1376-IT,C9712-Auto,C8804-Auto,C2310-CH
E9964,C7410-ME,C9015-ME,C5005-ME,C2310-IC,C4501-IC,C8911-Auto,C5668-EC,C5005-CH,C6200-EC,C1376-ME
E0922,C4340-ME,C1932-EE,C2661-EE,C9015-Auto,C5668-EC,C5668-Civil,C4212-CH,C5668-Civil,C5668-EC,C5111-CH
E4655,C9443-Auto,C2310-Civil,C4849-EE,C8895-EE,C0871-CH,C6978-CSE,C0871-EE,C9435-EC,C6014-CH,C6978-EE
E6732,C2220-IT,C4212-ME,C4501-CSE,C9435-EE,C9118-CH,C5005-EE,C2010-ME,C9712-CSE,C9118-IT,C9435-EE
E4236,C7330-EE,C2220-Auto,C9443-EC,C1470-IC,C4449-CH,C1932-ME,C4206-ME,C5111-ME,C1510-CH,C1932-CSE
E4237,C5111-EC,C5668-CH,C4501-CSE,C6879-IT,C8895-Auto,C4501-IC,C1570-IT,C1470-CSE,C2010-IC,C6879-ME
E7843,C5111-CH,C1664-IC,C5111-IT,C6978-EE,C5005-IT,C1470-Civil,C4206-CH,C9712-IT,C8132-CSE,C5668-IT
E4382,C6014-ME,C8804-IC,C7510-IC,C5668-ME,C5111-ME,C0871-EE,C7168-EE,C2661-ME,C2661-CH,C0871-EC
E4033,C9015-CH,C2490-EC,C4206-IT,C4790-CH,C5111-IC,C7168-IC,C6968-IT,C6879-EC,C6879-EE,C5111-EC
E5786,C0060-EE,C2490-IT,C6879-CSE,C2800-IC,C9015-CH,C9443-IC,C1376-EC,C9896-EE,C4340-EC,C8132-Auto
E7271,C2220-CSE,C1932-CSE,C4449-Auto,C2010-Auto,C2800-CH,C0871-IC,C5597-IC,C5668-IC,C5668-EE,C8895-EE
E9775,C5668-CH,C6900-IC,C9443-IC,C7410-Civil,C7330-Civil,C4212-CH,C6900-EE,C6968-EC,C5597-CSE,C9015-EE
E1669,C2490-ME,C4449-IC,C1376-Auto,C1932-IC,C8895-IT,C4790-CSE,C9118-ME,C9435-ME,C9712-IT,C6200-Civil
E6794,C5668-IC,C6200-Auto,C8911-IT,C4790-ME,C6900-CSE,C7510-ME,C7330-CH,C2800-IC,C4849-EC,C6879-EC
E4389,C2525-ME,C8132-ME,C1510-ME,C1510-Auto,C2220-Auto,C1932-IT,C9443-CH,C5111-EC,C9896-CSE,C2661-Auto
E8103,C4212-EE,C9015-IC,C8911-Auto,C1664-CSE,C1376-ME,C7510-IC,C5597-EE,C2661-ME,C6978-IC,C4826-IT
E0526,C5005-CSE,C6968-EC,C6978-ME,C9896-Civil,C7667-CSE,C1570-Civil,C2661-EE,C1932-Civil,C1510-CSE,C7933-IT
E7269,C9435-CH,C7510-EE,C9015-Auto,C1664-Auto,C6900-IC,C7168-EC,C9435-CH,C2800-IT,C9443-Auto,C2220-IC
E0941,C8132-ME,C4340-IT,C2220-IT,C6900-ME,C1376-EC,C0060-EC,C2525-EE,C9443-Civil,C6014-CSE,C5668-CH
E7414,C2800-ME,C4449-Auto,C6879-ME,C6014-CSE,C9896-ME,C4212-EC,C7510-Civil,C4849-IC,C7933-IC,C9015-CH
E6615,C6200-CSE,C7410-IT,C6200-IT,C6014-Civil,C9763-IT,C4212-IT,C4340-Auto,C1470-IC,C2220-ME,C7510-Civil
E4980,C9763-ME,C6978-ME,C4340-Civil,C5111-CSE,C4826-IT,C1470-EE,C6900-EE,C2800-CSE,C2525-IT,C4826-Civil
E1946,C0060-ME,C4849-EC,C6900-CH,C1376-CSE,C4206-IC,C4212-IT,C8132-IT,C2490-CSE,C4849-ME,C6978-CSE
E0948,C4790-IT,C6900-Auto,C9763-EC,C4449-Auto,C8911-CSE,C9712-ME,C4826-EE,C9896-Auto,C1664-CSE,C1664-CH
E4549,C1470-EC,C7330-EE,C7933-EC,C5111-Civil,C6200-EC,C9712-EC,C7667-EE,C9763-CSE,C4849-EC,C6900-Auto
E4525,C5111-IC,C9763-CSE,C6879-EC,C2490-IC,C2661-Auto,C6200-IC,C6014-CSE,C9763-CSE,C7330-Auto,C4849-EC
E1984,C4340-IT,C5668-CH,C8132-EC,C2800-EE,C2220-EC,C6879-Civil,C6879-CH,C4449-CSE,C8132-ME,C6014-IC
E0551,C2310-CH,C4212-Civil,C1664-IT,C8895-Auto,C4501-Auto,C1376-ME,C5111-CSE,C4826-EC,C1376-CH,C7168-EC
E5499,C9118-ME,C9763-IC,C6968-EC,C9763-Civil,C8804-EE,C4501-IC,C2661-EC,C2800-EC,C0871-IT,C9712-EE
E4116,C1376-EE,C9712-CSE,C2010-CSE,C6879-CH,C8911-IC,C7330-EC,C4501-IC,C8132-EE,C9435-IT,C4826-ME
E4372,C4826-EC,C5668-CH,C6879-EE,C2661-ME,C9443-CH,C5111-EE,C4501-EC,C2310-CSE,C9443-IC,C5668-ME
E9801,C6978-EE,C6900-IT,C2010-Auto,C2800-IT,C1570-Civil,C2310-IC,C2220-ME,C9015-Auto,C9015-IC,C1470-CSE
E8519,C9435-EE,C9712-CSE,C2525-Auto,C1510-CH,C5597-Civil,C0060-Auto,C4849-CSE,C5597-EC,C2010-CSE,C1570-IC
E5989,C9712-EC,C0060-IT,C2490-IC,C9763-EE,C1376-IC,C6978-IT,C9435-EE,C7667-ME,C4449-EC,C4212-CH
E1915,C0060-IC,C8895-CSE,C8804-CH,C6900-EC,C6978-IC,C9896-EC,C6968-IC,C5111-CH,C1932-IC,C4849-CH
E4859,C9015-Civil,C4790-ME,C5005-IC,C4826-Civil,C2800-IT,C6014-IT,C2220-EC,C7933-CSE,C9896-CH,C7667-CSE
E8331,C9118-EE,C1510-IT,C9896-IC,C5005-CH,C0060-Civil,C5111-IC,C1664-Civil,C0060-EE,C2010-ME,C5668-EC
E7079,C7510-EC,C2010-CSE,C6978-Auto,C5597-Civil,C2525-ME,C7933-Auto,C9118-Auto,C6879-Auto,C8804-EC,C5597-ME
E9477,C2800-EC,C4212-CH,C5005-Auto,C2220-IT,C9118-Civil,C1510-EC,C6978-EC,C1376-Civil,C9118-CSE,C8132-IT
E7203,C7410-IC,C2010-CH,C6978-Auto,C4790-CH,C5111-Auto,C4340-EC,C5111-EE,C2800-EC,C9712-EC,C1932-CH
E0800,C4790-EC,C6978-CSE,C2800-CH,C2661-Auto,C6900-EC,C1932-IT,C0060-Auto,C4340-CSE,C4826-IC,C4826-Civil
E4909,C8132-Civil,C6968-CSE,C5668-ME,C9896-EE,C4212-Civil,C7410-Auto,C9763-ME,C8132-Civil,C2800-EC,C7510-Civil
E4727,C4449-IT,C8911-ME,C7410-IT,C8911-Civil,C7330-CH,C1664-IC,C8804-IC,C6978-Auto,C6968-EC,C4449-EC
E0092,C2800-Civil,C1570-IC,C8804-IT,C7410-EE,C5111-ME,C6978-ME,C9712-Auto,C6200-ME,C4340-IC,C9712-ME
E8098,C4826-Auto,C6978-Auto,C2525-Auto,C8895-CH,C1570-CSE,C9712-ME,C0871-ME,C6968-ME,C4212-EE,C4212-Civil
E1285,C7410-IT,C4212-IT,C8804-IC,C1664-Civil,C4501-Civil,C9896-IC,C1932-IT,C1470-Civil,C4501-IC,C1664-EC
E4780,C5597-EC,C9896-CSE,C9443-IC,C7410-IC,C2490-IT,C1510-CH,C5597-ME,C2525-CH,C7168-ME,C9015-Auto
E4946,C2490-Auto,C7933-CH,C5005-Civil,C1664-CH,C6968-Civil,C6879-ME,C2310-EE,C4206-EE,C2800-EE,C9118-CH
E4110,C5668-Auto,C1570-CH,C0871-EE,C4340-IT,C9435-EE,C2800-EC,C9712-IT,C4849-EC,C1510-CSE,C9015-Auto
E8009,C6200-IT,C2525-ME,C6978-Auto,C2310-IT,C5005-Auto,C9118-CSE,C7410-Civil,C2800-Auto,C6978-IT,C7667-IT
E3888,C2490-IT,C6879-Auto,C0871-EE,C8804-Auto,C6200-Civil,C5597-EC,C4501-CSE,C2310-Civil,C6978-IT,C6879-IC
E9755,C7510-IC,C4790-EE,C9712-CSE,C4501-IT,C7168-EC,C2010-CH,C4206-EE,C6978-IC,C9763-Auto,C7933-CSE
E3770,C6200-CH,C2661-CH,C4340-EE,C4826-CSE,C1510-CSE,C0871-Auto,C7933-ME,C9435-IC,C1932-Civil,C2490-CH
E3910,C0060-IT,C2525-CH,C0060-IC,C6978-IT,C0060-IC,C1510-IT,C4206-ME,C5005-ME,C0871-CH,C2310-IT
E4228,C2525-CSE,C2310-CH,C9118-CH,C6014-CSE,C4849-Civil,C9015-EC,C2010-Civil,C8804-IT,C4206-EE,C4849-Auto
E3754,C9896-IC,C2490-Auto,C0060-IT,C9015-IT,C9896-IT,C1932-IC,C8911-Civil,C1570-IC,C7510-Auto,C2525-IT
E9863,C6900-CH,C4501-CH,C4826-CH,C8895-EC,C7510-IC,C8132-EC,C2525-ME,C1376-EE,C2490-CH,C4206-IC
E5712,C5668-CSE,C2661-EE,C4849-IT,C9712-Auto,C8895-CSE,C6879-Civil,C4826-Civil,C9763-IT,C7330-Auto,C8911-IT
E6368,C6900-IT,C7933-CH,C7667-CSE,C4826-Civil,C7168-ME,C9435-EC,C2010-EE,C8911-EE,C9896-Civil,C4849-EE
E6954,C8911-EC,C2310-CH,C1470-IT,C6978-CSE,C4849-IT,C6968-Auto,C2310-ME,C4206-EC,C5005-EE,C9896-EC
E6586,C6968-IT,C0871-EC,C9896-IC,C2010-IT,C8804-EC,C8895-Civil,C1470-ME,C8895-EC,C0871-Civil,C8911-CH
E2231,C6968-IT,C2220-EC,C8132-ME,C7330-CSE,C5111-ME,C7168-EE,C7410-IC,C4449-CH,C9443-EE,C7410-Civil
E2834,C2490-CSE,C2525-IT,C9763-CH,C6978-IC,C9435-CSE,C5597-Civil,C9015-EC,C1376-IC,C9763-CH,C5005-CH
E9624,C7410-Civil,C5597-ME,C4501-Auto,C6968-CSE,C0060-CSE,C8132-EC,C4849-IC,C4212-Auto,C4206-ME,C7410-IC
E7600,C9015-IT,C6879-Auto,C1376-CH,C6200-Auto,C1470-IC,C0060-EC,C5597-IC,C8132-IT,C6014-CSE,C7933-IC
E4804,C4826-CH,C9118-IT,C6014-Auto,C1570-CH,C1664-ME,C7330-IC,C9118-Civil,C5111-EE,C5005-EE,C7667-EC
E0174,C1570-EC,C4790-EE,C2661-ME,C0060-ME,C4790-Civil,C9118-IC,C2010-CH,C6200-EC,C7667-Auto,C9118-EC
E0274,C1932-EC,C4449-IC,C1570-ME,C2010-IT,C5111-Civil,C7410-CH,C5005-EC,C4790-CH,C1932-CSE,C1376-IT
E6124,C2525-CSE,C4206-CSE,C6014-ME,C8895-IT,C1510-EE,C2490-IC,C8895-CSE,C9015-Auto,C9435-Civil,C2800-EC
E7058,C1570-ME,C8911-Auto,C2010-EE,C4501-Auto,C2661-EC,C5597-IC,C9712-ME,C5005-CSE,C6200-IT,C2490-IC
E0699,C1376-EE,C2800-IC,C5597-Civil,C2010-CSE,C1470-EE,C1664-IT,C1932-IC,C7667-EE,C9435-Civil,C4340-Civil
E7670,C6968-IT,C1932-CSE,C9015-EE,C9763-CSE,C7410-Civil,C2490-EE,C6900-Civil,C1570-IT,C2800-EC,C7933-ME
E7986,C5668-ME,C8804-Civil,C1470-Civil,C7667-IT,C9118-CSE,C2310-IT,C4849-EC,C9763-Auto,C1932-Civil,C4340-Civil
E3258,C7410-EC,C6014-EE,C8804-CSE,C5597-IC,C2310-IC,C6978-EE,C8804-ME,C8911-CSE,C1932-CSE,C2010-EC
E6482,C9015-IC,C7168-CSE,C9443-IT,C7410-EE,C6879-Auto,C7168-ME,C8911-Auto,C4501-EC,C2310-CSE,C1510-CSE
E3546,C5005-CSE,C8804-Civil,C8911-IT,C0871-CSE,C5111-EC,C7330-IC,C9118-ME,C7510-Auto,C8895-IT,C4501-CH
E3679,C9712-IT,C2310-EC,C8132-IT,C7330-Auto,C7410-IT,C4340-IC,C2310-CSE,C9015-CH,C9435-CSE,C2525-IC
E4017,C6014-IC,C2010-CH,C5111-Auto,C5668-EC,C2490-ME,C7510-IT,C6900-IC,C0060-ME,C4849-EE,C7410-ME
E0611,C4206-ME,C6014-CSE,C7330-EC,C4206-ME,C1376-CSE,C1510-Civil,C6879-EE,C9015-EC,C4212-Civil,C4826-Auto
E8895,C1470-IT,C4849-EE,C1664-CH,C9712-EC,C1664-Civil,C6900-CSE,C2490-ME,C1510-ME,C4340-IC,C9443-CH
E6367,C2010-IC,C1376-EC,C9763-ME,C7330-CSE,C4340-Civil,C9118-CH,C1470-IT,C8911-CSE,C9712-IT,C6014-Civil
E9930,C2800-Civil,C1510-EC,C9015-Civil,C4206-Auto,C9015-ME,C7933-IC,C4449-CSE,C8132-Civil,C5597-EE,C1510-Auto
E5990,C4449-IT,C0060-Civil,C8911-ME,C9118-CH,C1932-IT,C8132-Auto,C8911-ME,C2310-Civil,C6014-EC,C4449-CSE
E3032,C6978-Civil,C9015-CH,C4826-EE,C6900-CSE,C1664-EE,C9435-CSE,C1570-Civil,C4790-EC,C9443-EE,C6968-Civil
E9465,C4826-Civil,C2800-EC,C4849-EE,C4212-Auto,C2490-EE,C1570-CH,C5005-CH,C2220-CH,C4501-IC,C7168-ME
E9911,C7330-IT,C1664-EE,C4790-CH,C2525-EC,C1932-EE,C5597-ME,C7667-Auto,C2220-EC,C1376-Auto,C9896-CH
E3655,C8132-EC,C1470-IC,C5111-CH,C7933-CSE,C9896-EE,C5668-EC,C6968-ME,C7410-Civil,C5597-CH,C6900-CSE
E5095,C9118-IC,C2800-Auto,C2310-EE,C9118-EE,C5111-CH,C0871-EE,C0871-Auto,C4849-Civil,C7667-CSE,C4826-EE
E1767,C7667-IC,C2525-ME,C4790-CSE,C8895-ME,C4849-ME,C0871-CH,C5597-ME,C9712-IT,C4340-Civil,C2010-Auto
E3111,C7510-CH,C5668-ME,C1570-EC,C7510-EC,C8911-EC,C6900-IC,C8804-EE,C9763-Civil,C2525-CSE,C7510-Civil
E6194,C5668-CH,C4340-EC,C8911-IC,C7410-EE,C8804-Civil,C9443-EE,C4826-ME,C8132-IC,C9443-ME,C6900-Civil
E5372,C9896-ME,C5668-CH,C1570-CSE,C1664-Auto,C1510-IC,C9118-IC,C0060-CH,C4212-ME,C7168-CSE,C7667-ME
E3982,C7410-IT,C6200-EE,C7330-CH,C8804-CH,C4206-IT,C9015-IT,C6968-EC,C8911-IC,C7330-EE,C4501-EE
E0097,C8895-EC,C7510-Auto,C5111-Civil,C6014-Civil,C9896-ME,C8895-IT,C4212-CH,C1570-ME,C9896-CH,C6014-Civil
E4002,C4826-IC,C5005-IT,C1570-CSE,C2310-EE,C1932-Auto,C1664-EE,C2220-CSE,C2010-IC,C0060-ME,C2800-IC
E6994,C2010-CSE,C2490-CSE,C2661-CH,C1664-EC,C4501-CSE,C7168-EE,C2310-EC,C2800-EC,C8911-IT,C5111-EE
E1909,C6200-Civil,C2661-Civil,C5111-ME,C7410-IC,C7667-Civil,C6014-IT,C4212-Civil,C9443-CSE,C7410-IC,C4826-Auto
E6522,C5005-EE,C1376-IC,C1510-IC,C9015-EE,C2220-CSE,C2220-EE,C1570-Auto,C7410-IC,C7410-IT,C4340-EE
E8689,C1570-EC,C4790-IT,C2525-EC,C7933-ME,C9435-CH,C1664-Auto,C8804-CH,C7168-IC,C6978-ME,C4849-EE
E3445,C9712-EE,C4501-IC,C0060-IT,C7667-Auto,C8804-ME,C7667-Civil,C4501-IT,C4501-ME,C4849-CH,C2220-CSE
E9946,C8895-EE,C6900-EC,C4826-Civil,C2010-EC,C7410-Auto,C7410-ME,C2490-Civil,C1664-Auto,C8132-EC,C1376-EE
E4207,C2661-Civil,C2310-Auto,C5005-ME,C9763-Civil,C4501-ME,C4501-Auto,C2661-EC,C8132-Civil,C9015-Auto,C4501-EE
E3502,C9118-EE,C0060-CSE,C2661-Civil,C2010-IC,C2525-CH,C2220-ME,C1510-CSE,C6900-Auto,C4206-IT,C5005-IC
E9231,C9763-Auto,C6978-EC,C4449-IT,C9896-EE,C5005-EC,C6200-CH,C4340-Auto,C0871-CSE,C5668-Civil,C9763-CH
E2056,C1932-Civil,C1470-Civil,C2010-IT,C4849-EE,C1376-EE,C2525-Auto,C1570-Civil,C6014-Auto,C2220-IT,C1932-CH
E2691,C4501-IT,C1664-EC,C9435-IT,C6879-CH,C7168-EE,C8804-IT,C4206-EE,C6968-CH,C4826-CSE,C1510-CSE
E5523,C9712-EC,C4206-ME,C1664-IT,C6200-IC,C9443-ME,C5668-CH,C5597-IT,C9015-Auto,C4790-IC,C9015-EC
E7412,C4206-CH,C1510-CSE,C4340-Civil,C4790-CSE,C0060-ME,C7667-ME,C6900-EE,C5668-Civil,C1470-CSE,C4501-ME
E8246,C6879-CSE,C4212-CSE,C4206-CH,C1376-IC,C4826-IT,C7933-CH,C9118-Civil,C6978-Auto,C4449-CH,C2525-EE
E2156,C5597-CH,C1664-IC,C5668-IT,C4501-Auto,C1510-CH,C7933-ME,C5668-Civil,C5597-IC,C6968-EC,C6900-EC
E8136,C6968-CH,C6968-Civil,C0871-Auto,C2310-Civil,C9763-IC,C9015-EE,C4501-CH,C6200-Civil,C9015-ME,C7410-IC
E1199,C6879-ME,C7667-EC,C2310-EE,C1376-EE,C4501-Auto,C1932-IC,C7933-EE,C2010-Auto,C0871-CSE,C4449-EE
E9379,C7933-IC,C2525-Civil,C6200-ME,C4826-Auto,C5111-Auto,C7330-Civil,C1932-EE,C2220-EC,C8911-IT,C6968-EC
E0235,C1376-IT,C9712-EE,C8804-IC,C8804-IT,C9118-CSE,C7330-IT,C8911-IC,C5005-Civil,C9435-ME,C2220-IC
E4586,C8911-IC,C1570-IC,C4501-CSE,C0060-IT,C0060-IT,C7330-Civil,C7933-ME,C2800-Auto,C1470-Civil,C5111-IC
E1258,C0871-CSE,C9712-EC,C1932-ME,C6014-Civil,C6879-ME,C6879-IT,C2525-Auto,C7933-Auto,C0871-CSE,C1570-EC
